id_municipio,descricao_subsetor,total_2020,total_2022,eleg_2020,eleg_2022,sal_medio_2022,pct_eleg_2022,delta_total_pct,delta_eleg_pct
3509502,Indústria Metalúrgica,5266,7459,45,134,4164.98,1.8,41.6,197.8
3509502,"Indústria do Papel, Papelão, Editorial e Gráfica",1663,1604,65,89,5148.9,5.5,-3.5,36.9
3509502,Indústria de Produtos Minerais Não Metálicos,2930,3116,33,31,2975.79,1.0,6.3,-6.1
3509502,Indústria Têxtil do Vestuário e Artefatos de Tecidos,3554,4095,10,21,3578.21,0.5,15.2,110.0
3509502,Indústria da Madeira e do Mobiliário,925,1185,0,3,2741.77,0.3,28.1,
3509502,Indústria de Calçados,119,96,0,0,2219.26,0.0,-19.3,
3525904,Comércio Atacadista,30914,33040,651,1508,4852.3,4.6,6.9,131.6
3525904,Indústria Química,26371,27845,1008,1401,5908.64,5.0,5.6,39.0
3525904,Comércio Varejista,94147,99266,133,1398,3339.14,1.4,5.4,951.1
3525904,"Indústria de Produtos Alimentícios, Bebidas e Álcool",23795,28620,577,1260,5286.72,4.4,20.3,118.4
