id_municipio,cbo_2002,descricao_cargo,vinc_2020,vinc_2021,vinc_2022,sal_2020,sal_2021,sal_2022,eleg_2020,eleg_2021,eleg_2022,delta_vinc_pct,delta_eleg_pct
3538709,413205,Atendente De Agência,153,187,194,2716.58,3028.49,5367.75,0,0,15,26.8,
3538709,261205,Bibliotecário,40,43,48,8736.58,8717.92,9489.32,13,15,15,20.0,15.4
3538709,142515,Gerente De Operação De Tecnologia Da Informação,20,19,23,14988.85,15211.0,24956.59,13,6,15,15.0,15.4
3538709,410240,Supervisor De Logística,91,136,189,6574.87,5140.62,6630.05,11,12,14,107.7,27.3
3538709,214305,Engenheiro Eletricista,58,60,70,9176.02,9078.41,11470.66,0,0,14,20.7,
3538709,241010,Advogado De Empresa,53,56,52,10558.61,11167.59,11677.11,12,12,14,-1.9,16.7
3538709,253210,Gerente De Clientes Especiais (Private),13,12,14,7386.13,7567.36,31020.41,0,0,14,7.7,
3538709,951105,Eletricista De Manutenção Eletroeletrônica,983,1069,1141,4331.36,4574.24,5856.38,0,0,13,16.1,
3538709,313130,Técnico Eletricista,111,129,161,4302.85,4496.47,8800.4,0,0,13,45.0,
3538709,391120,Planejista,73,79,97,6254.39,5370.99,9088.86,1,1,13,32.9,1200.0
3538709,121005,Diretor De Planejamento Estratégico,36,29,24,30684.81,37621.11,25164.1,19,18,13,-33.3,-31.6
3538709,239405,Coordenador Pedagógico,213,239,194,4984.05,5018.41,7331.64,0,0,12,-8.9,
3538709,724410,Caldeireiro (Chapas De Ferro E Aço),1498,1674,1606,3458.9,3539.13,4305.0,0,0,11,7.2,
3538709,212405,Analista De Desenvolvimento De Sistemas,955,1152,1118,5913.59,5828.26,7406.17,12,12,11,17.1,-8.3
3538709,395105,Técnico De Apoio Em Pesquisa E Desenvolvimento (Exceto Agropecuário E Florestal),384,396,391,7201.21,7152.24,8374.64,0,1,10,1.8,
3538709,715125,Operador De Máquinas De Construção Civil E Mineração,290,294,380,2949.0,2938.02,3889.1,0,0,10,31.0,
3538709,223710,Nutricionista,215,233,266,3865.91,3890.04,5198.62,0,0,10,23.7,
3538709,141605,Gerente De Operações De Transportes,138,157,175,5350.56,5303.94,5803.21,6,6,10,26.8,66.7
3538709,351730,Inspetor De Sinistros,78,89,76,2097.12,2134.1,6526.87,0,0,10,-2.6,
3538709,142310,Gerente De Comunicação,57,61,41,6744.14,7357.2,9132.4,10,12,10,-28.1,0.0
3538709,131115,Gerente De Serviços Culturais,11,13,21,6134.55,6700.91,12343.02,1,4,10,90.9,900.0
3538709,123115,Diretor Financeiro,15,10,13,13801.05,26498.88,20056.66,2,8,10,-13.3,400.0
3538709,820125,Mestre De Laminação,8,10,10,12578.2,12604.03,14380.07,0,0,10,25.0,
3538709,203505,Pesquisador Em Ciências Sociais E Humanas,10,15,10,12457.23,9767.0,23141.4,0,0,10,0.0,
3538709,521105,Vendedor Em Comércio Atacadista,1160,1113,1167,2713.48,2827.91,3694.58,0,5,9,0.6,
3538709,312105,Técnico De Obras Civis,96,120,143,3598.2,3664.84,5494.15,0,0,9,49.0,
3538709,391135,Técnico De Matéria-Prima E Material,111,125,137,4555.69,5017.67,7133.61,0,0,9,23.4,
3538709,252205,Auditor (Contadores E Afins),52,61,82,5700.19,5280.76,7675.96,2,0,9,57.7,350.0
3538709,141110,Gerente De Produção E Operações  Florestais,34,39,23,8482.56,9218.88,9697.12,1,1,9,-32.4,800.0
3538709,142210,Gerente De Departamento Pessoal,140,128,127,5423.18,6195.38,7246.86,8,5,8,-9.3,0.0
3538709,410235,Supervisor De Tesouraria,92,87,96,5150.37,5240.74,6307.48,2,5,8,4.3,300.0
3538709,222110,Engenheiro Agrônomo,39,46,46,7216.2,8233.46,7427.9,0,3,8,17.9,
3538709,142530,Gerente De Suporte Técnico De Tecnologia Da Informação,56,53,46,7057.71,7891.86,9462.61,8,7,8,-17.9,0.0
3538709,142505,Gerente De Infraestrutura De Tecnologia Da Informação,23,26,30,6614.26,11002.26,11290.1,1,2,8,30.4,700.0
3538709,820110,Mestre De Aciaria,24,21,23,6886.62,7194.68,14929.67,0,0,8,-4.2,
3538709,354125,Assistente De Vendas,1405,1520,1737,2564.54,2626.21,2926.99,0,0,7,23.6,
3538709,410230,Supervisor De Orçamento,42,45,53,4157.54,4160.1,6467.72,3,1,7,26.2,133.3
3538709,351110,Chefe De Contabilidade (Técnico),20,19,24,6384.45,7362.65,7848.29,0,0,7,20.0,
3538709,262615,Músico Regente,13,10,14,2888.27,3191.3,26152.2,1,1,7,7.7,600.0
3538709,353235,Chefe De Serviços Bancários,0,9,7,,4942.8,23626.71,0,0,7,,
3538709,122205,"Diretor De Produção E Operações Da Indústria De Transformação, Extração Mineral E Utilidades",13,10,7,34115.69,40021.06,62869.79,12,9,7,-46.2,-41.7
3538709,521115,Promotor De Vendas,592,469,539,1780.84,1725.39,2272.23,0,0,6,-9.0,
3538709,253225,Operador De Negócios,232,237,272,2578.65,2538.5,3365.52,0,0,6,17.2,
3538709,840105,Supervisor De Produção Da Indústria Alimentícia,186,198,237,3932.56,3564.72,4828.33,0,0,6,27.4,
3538709,342305,Chefe De Serviço De Transporte Rodoviário (Passageiros E Cargas),189,203,236,3416.07,3476.16,4647.73,0,0,6,24.9,
3538709,221105,Biólogo,126,113,57,4547.21,5272.19,7716.31,6,6,6,-54.8,0.0
3538709,214915,Engenheiro De Segurança Do Trabalho,48,46,56,9406.48,9345.01,10108.13,1,4,6,16.7,500.0
3538709,715140,"Operador De Pavimentadora (Asfalto, Concreto E Materiais Similares)",15,20,34,2188.9,2340.89,5362.83,0,0,6,126.7,
3538709,214005,Engenheiro Ambiental,15,16,28,7679.15,7373.23,9207.1,0,1,6,86.7,
3538709,342120,Afretador,0,0,6,,,44454.63,0,0,6,,
3538709,214220,Engenheiro Civil (Estruturas Metálicas),6,6,6,15472.02,17834.31,18751.45,6,6,6,0.0,0.0
3538709,391205,Inspetor De Qualidade,2532,2981,3330,3379.17,3734.77,3989.69,2,0,5,31.5,150.0
3538709,782305,Motorista De Carro De Passeio,1486,1464,1493,2478.05,2596.67,2954.37,0,0,5,0.5,
3538709,321105,Técnico Agrícola,162,214,252,6260.76,6093.25,8408.47,0,3,5,55.6,
3538709,142415,Gerente De Almoxarifado,18,18,26,10350.68,10656.0,10920.0,4,4,5,44.4,25.0
3538709,123705,Diretor De Pesquisa E Desenvolvimento (P&D),17,16,26,29948.98,30363.09,16241.22,11,6,5,52.9,-54.5
3538709,760125,Mestre (Indústria Têxtil E De Confecções),13,17,18,4218.48,3642.0,10270.99,0,0,5,38.5,
3538709,517410,Porteiro De Edifícios,2623,2643,2601,2098.75,2207.57,2577.57,0,0,4,-0.8,
3538709,351605,Técnico Em Segurança Do Trabalho,752,763,915,3938.03,4114.09,4641.58,0,0,4,21.7,
3538709,992115,Borracheiro,369,422,499,2102.55,2188.49,2624.23,0,0,4,35.2,
3538709,953115,"Eletricista De Instalações (Veículos Automotores E Máquinas Operatrizes, Exceto Aeronaves E Embarcações)",422,438,472,2409.54,2370.69,3003.5,0,0,4,11.8,
3538709,252545,Analista Financeiro (Instituições Financeiras),321,363,432,3410.34,3579.02,4925.23,0,0,4,34.6,
3538709,251605,Assistente Social,245,236,227,3974.27,4189.15,4862.17,0,4,4,-7.3,
3538709,720215,Mestre (Indústria De Máquinas E Outros Equipamentos Mecânicos),186,197,187,5848.91,6717.17,8048.47,0,0,4,0.5,
3538709,510105,Supervisor De Transportes,94,96,158,3082.1,3850.8,4665.37,0,0,4,68.1,
3538709,131305,Diretor De Instituição Educacional Da Área Privada,96,99,138,5414.71,5551.34,10811.01,4,4,4,43.8,0.0
3538709,203125,Pesquisador Em Química,28,33,54,4368.82,5771.26,6547.78,0,0,4,92.9,
3538709,142510,Gerente De Desenvolvimento De Sistemas,17,22,28,8120.76,8785.79,9646.73,2,4,4,64.7,100.0
3538709,860110,"Supervisor De Operação De Fluidos (Distribuição, Captação, Tratamento De Água, Gases, Vapor)",9,20,25,6463.07,7329.67,8063.8,1,1,4,177.8,300.0
3538709,215305,Piloto De Aeronaves,13,17,20,12166.13,11827.41,11766.55,4,4,4,53.8,0.0
3538709,123405,Diretor De Suprimentos,8,19,17,15608.92,11285.28,12950.32,5,6,4,112.5,-20.0
3538709,515310,Agente De Ação Social,3,4,10,3548.31,5534.02,12988.23,0,0,4,233.3,
3538709,720160,Supervisor De Controle De Tratamento Térmico,7,7,7,11913.91,12829.7,13976.81,4,4,4,0.0,0.0
3538709,414105,Almoxarife,4545,4708,4709,2105.3,2257.95,2680.51,0,0,3,3.6,
3538709,715210,Pedreiro,1172,1483,1677,2157.61,2236.69,2609.79,0,0,3,43.1,
3538709,311105,Técnico Químico,362,360,372,3289.61,3506.59,4130.59,0,1,3,2.8,
3538709,212410,Analista De Redes E De Comunicação De Dados,178,158,202,4927.85,4209.42,5125.26,0,0,3,13.5,
3538709,141720,Gerente De Crédito E Cobrança,31,44,37,7020.85,7362.88,10476.98,0,0,3,19.4,
3538709,141115,Gerente De Produção E Operações Agropecuárias,20,23,25,8562.47,9996.69,10142.48,2,3,3,25.0,50.0
3538709,142110,Gerente De Riscos,11,31,24,6062.15,7467.74,7607.59,0,0,3,118.2,
3538709,202110,Engenheiro De Controle E Automação,26,14,22,8422.9,9229.71,9582.8,3,4,3,-15.4,0.0
3538709,122405,Diretor De Operações Comerciais (Comércio Atacadista E Varejista),7,8,8,13441.72,12337.54,52918.17,2,2,3,14.3,50.0
3538709,820210,Supervisor De Fabricação De Produtos De Vidro,6,5,6,6795.56,7204.76,30737.62,0,0,3,0.0,
3538709,252550,Profissional De Relações Com Investidores,4,5,5,10027.36,10855.32,16815.06,1,1,3,25.0,200.0
3538709,342610,Supervisor De Operações Portuárias,0,0,4,,,37321.82,0,0,3,,
3538709,354505,Corretor De Seguros,2,2,3,3195.7,3333.1,42704.13,0,0,3,50.0,
3538709,212425,Arquiteto De Soluções De Tecnologia Da Informação,0,0,3,,,14960.29,0,0,3,,
3538709,391210,Técnico De Garantia Da Qualidade,955,1008,1246,4000.22,4468.62,4897.91,0,0,2,30.5,
3538709,514325,Trabalhador Da Manutenção De Edificações,738,748,757,2433.57,2536.37,3486.48,0,0,2,2.6,
3538709,391115,Controlador De Entrada E Saída,600,590,571,2559.05,2843.77,3666.98,0,0,2,-4.8,
3538709,223605,Fisioterapeuta Geral,424,429,403,3475.22,3645.27,4401.3,0,0,2,-5.0,
3538709,910105,Encarregado De Manutenção Mecânica De Sistemas Operacionais,239,291,334,4735.99,5139.32,5418.98,0,0,2,39.7,
3538709,318610,Desenhista Projetista Mecânico,300,310,331,4940.61,5168.62,5913.43,0,2,2,10.3,
3538709,342110,Operador De Transporte Multimodal,76,167,196,2421.06,2006.65,2478.55,0,0,2,157.9,
3538709,730105,Supervisor De Montagem E Instalação Eletroeletrônica,61,56,74,6498.99,7175.24,7632.89,3,2,2,21.3,-33.3
3538709,862155,"Operador De Utilidade (Produção E Distribuição De Vapor, Gás, Óleo, Combustível, Energia, Oxigênio)",46,51,70,4476.87,4521.26,5676.55,0,0,2,52.2,
3538709,720110,Mestre De Caldeiraria,64,75,70,5384.16,5465.31,7483.82,0,0,2,9.4,
3538709,351115,Consultor Contábil (Técnico),48,48,52,7007.39,6979.53,8483.9,1,1,2,8.3,100.0
3538709,141305,Gerente De Produção E Operações Da Construção Civil E Obras Públicas,27,30,35,5427.39,5894.47,8521.83,0,0,2,29.6,
3538709,510310,Supervisor De Vigilantes,24,26,30,4810.39,5103.07,5501.94,2,2,2,25.0,0.0
3538709,630110,Supervisor Da Área Florestal,29,28,28,2770.26,3047.26,5464.95,0,0,2,-3.4,
3538709,213205,Químico,11,16,25,8984.84,7277.32,7802.24,4,4,2,127.3,-50.0
3538709,214505,Engenheiro Químico,13,12,16,8473.41,9435.68,8822.23,2,1,2,23.1,0.0
3538709,203105,Pesquisador Em Ciências Da Computação E Informática,6,4,15,2336.07,2322.19,5550.86,0,0,2,150.0,
3538709,715130,Operador De Motoniveladora,5,16,12,4231.71,3417.71,7841.23,0,0,2,140.0,
3538709,410220,Supervisor De Controle Patrimonial,7,7,10,7775.82,8711.58,12443.33,0,0,2,42.9,
3538709,131310,Diretor De Instituição Educacional Pública,9,9,9,5225.14,5741.5,6173.0,2,2,2,0.0,0.0
3538709,251230,Economista Ambiental,5,10,6,6370.13,7438.54,21091.63,0,0,2,20.0,
3538709,142525,Gerente De Segurança Da Informação,1,1,3,23595.74,19861.11,15686.07,1,1,2,200.0,100.0
3538709,201110,Biotecnologista,2,2,2,12325.24,15576.06,17344.97,0,2,2,0.0,
3538709,141735,Gerente De Recuperação De Crédito,0,0,2,,,29174.92,0,0,2,,
3538709,261310,Museólogo,1,1,2,17906.85,17918.32,15553.06,1,1,2,100.0,100.0
3538709,212205,Engenheiro De Aplicativos Em Computação,1,1,2,9760.72,15961.11,17695.01,0,1,2,100.0,
3538709,253220,Gerente De Grandes Contas (Corporate),2,2,2,4773.95,6631.35,86612.72,0,0,2,0.0,
3538709,331105,Professor De Nível Médio Na Educação Infantil,2078,2099,2162,4024.22,3995.29,4932.57,0,0,1,4.0,
3538709,223405,Farmacêutico,1131,1226,1231,4277.02,4327.4,8029.87,1,1,1,8.8,0.0
3538709,252405,Analista De Recursos Humanos,866,958,1144,3911.18,3849.1,4855.38,0,0,1,32.1,
3538709,514310,Auxiliar De Manutenção Predial,431,524,500,2646.78,2564.97,2696.74,0,0,1,16.0,
3538709,354120,Agente De Vendas De Serviços,366,327,487,3305.31,3580.14,3610.5,0,0,1,33.1,
3538709,252305,Secretária(O) Executiva(O),425,437,468,2441.33,2359.45,2752.43,0,0,1,10.1,
3538709,224120,Preparador Físico,375,380,440,1664.03,1836.2,2275.18,0,0,1,17.3,
3538709,313215,Técnico Eletrônico,372,330,433,3531.62,4099.61,4400.69,1,1,1,16.4,0.0
3538709,252705,Analista De Pcp (Programação E Controle Da Produção),131,222,294,4819.81,4632.09,6573.8,0,0,1,124.4,
3538709,317110,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),252,286,289,3403.42,3455.7,4206.6,0,1,1,14.7,
3538709,950110,"Supervisor De Manutenção Eletromecânica Industrial, Comercial E Predial",181,168,216,8646.27,8826.87,9746.29,2,0,1,19.3,-50.0
3538709,317210,Técnico De Suporte Ao Usuário De Tecnologia Da Informação,143,207,205,2249.87,2787.02,3179.13,0,0,1,43.4,
3538709,141420,Gerente De Operações De Serviços De Assistência Técnica,172,151,183,5186.33,6758.83,9126.32,0,0,1,6.4,
3538709,410205,Supervisor De Almoxarifado,204,167,145,4630.15,4764.9,4942.49,0,0,1,-28.9,
3538709,782115,Operador De Guindaste Móvel,45,49,79,2944.41,2908.96,3733.42,0,0,1,75.6,
