id_municipio,nome_area_geral,nome_area_especifica,nome_area_detalhada,conc_2020,conc_2021,conc_2022,conc_2023,conc_2024,matr_2024,ing_2024,delta_conc_pct
3538709,Saúde e bem-estar,Programas interdisciplinares abrangendo saúde e bem-estar,Programas interdisciplinares abrangendo saúde e bem-estar,0,0,0,1,0,2,4,
3552205,"Negócios, administração e direito",Negócios e administração,Gestão e administração,1961,2058,1428,2080,2010,11819,8420,2.5
3552205,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Análise e desenvolvimento de algoritmos e aplicações,0,0,0,0,990,5290,3476,
3552205,Educação,Educação,Formação de professores sem áreas específicas,1486,1419,1070,728,704,6131,3514,-52.6
3552205,"Negócios, administração e direito",Direito,Direito,435,522,496,507,510,2845,1115,17.2
3552205,Saúde e bem-estar,Saúde,"Promoção, prevenção, terapia e reabilitação",519,635,629,607,483,3982,2522,-6.9
3552205,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia mecânica e metalurgia,358,417,412,396,339,1745,854,-5.3
3552205,Educação,Educação,Formação de professores em áreas específicas (exceto Letras),506,519,373,374,331,2548,1452,-34.6
3552205,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletrônica e automação,202,201,168,176,295,2120,832,46.0
3552205,"Negócios, administração e direito",Negócios e administração,Marketing e propaganda,253,288,220,327,293,1784,1335,15.8
3552205,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Psicologia,254,273,216,263,271,1940,996,6.7
3552205,"Engenharia, produção e construção",Produção e processamento,Produção e processos de fabricação,303,337,297,265,235,1463,725,-22.4
3552205,"Agricultura, silvicultura, pesca e veterinária",Veterinária,Veterinária,98,94,116,175,202,1128,412,106.1
3552205,"Negócios, administração e direito",Negócios e administração,Contabilidade e tributação,246,274,187,221,199,1441,891,-19.1
3552205,"Negócios, administração e direito",Negócios e administração,"Finanças, bancos e seguros",125,185,122,174,190,821,727,52.0
3552205,Saúde e bem-estar,Saúde,Odontologia,58,91,78,163,190,897,305,227.6
3552205,"Engenharia, produção e construção",Arquitetura e construção,Engenharia civil e construção,445,381,298,257,176,1067,517,-60.4
