co_uf,co_ies,co_curso,grupo_ies,no_curso,curso_agrupado_fgv,escola_fgv,sigla_ies,praca_fgv
35,242,68048,MACKENZIE,Administração,ADMINISTRAÇÃO,,MACKENZIE,SP
35,594,68916,UNICAMP,Comunicação Social,COMUNICAÇÃO,,UNICAMP,SP
33,5808,70608,PUC-Rio,Relações Internacionais,RI,,PUC-RIO,RJ
53,22,70638,UNB,Comunicação Social - Audiovisual,COMUNICAÇÃO,,UNB,DF
33,6446,71061,UFRJ,Matemática Aplicada,MATEMÁTICA,,UFRJ,RJ
53,4422,8295,UNICEUB,Direito,DIREITO,,UNICEUB,DF
53,4422,8299,UNICEUB,Administração,ADMINISTRAÇÃO,,UNICEUB,DF
53,4433,8333,UCB,Administração,ADMINISTRAÇÃO,,UCB,DF
53,4433,8334,UCB,Ciências Econômicas,ECONOMIA,,UCB,DF
53,4433,8343,UCB,Relações Internacionais,RI,,UCB,DF
33,39754,83914,FGV,Ciências Sociais,CIÊNCIAS SOCIAIS,CPDOC,FGV,RJ
33,5808,87202,PUC-Rio,Comunicação Social - Cinema,COMUNICAÇÃO,,PUC-RIO,RJ
35,4368,89498,PUC-SP,Administração,ADMINISTRAÇÃO,,PUCSP,SP
35,1092,89499,PUC-SP,Administração,ADMINISTRAÇÃO,,PUCSP,SP
33,6292,90475,UFF,Administração,ADMINISTRAÇÃO,,UFF,RJ
53,27324,90659,PROCESSUS BSB,Direito,DIREITO,,PFD,DF
33,7552,95179,ESPM,Relações Internacionais,RI,,ESPM,RJ
35,6996,95898,ESPM,Relações Internacionais,RI,,ESPM,SP
35,5071,9609,FAAP,Administração,ADMINISTRAÇÃO,,FA-FAAP,SP
35,2320,9633,FAAP,Ciências Econômicas,ECONOMIA,,FAAP,SP
35,2766,9633,FAAP,Ciências Econômicas,ECONOMIA,,FA-FAAP,SP
33,14585,97209,IBMEC,Relações Internacionais,RI,,IBMEC,RJ
