co_uf,co_curso,grupo_ies_abr,co_ies,curso_ies,curso_agrupado_fgv,curso_praca,escola_fgv,no_curso,praca_fgv,sigla_ies,curso_agrupado_key,grupo_ies_key
33,311322,UERJ,6017,UERJ-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UERJ,CIENCIAS SOCIAIS,UERJ
33,312686,UFF,6292,UFF-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UFF,CIENCIAS SOCIAIS,UFF
33,312702,UFF,6292,UFF-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UFF,MATEMATICA,UFF
53,31381,UNB,22,UNB-Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Comunicação Social - Publicidade E Propaganda,DF,UNB,COMUNICACAO,UNB
33,314328,UFRJ,6446,UFRJ-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UFRJ,MATEMATICA,UFRJ
33,314348,UFRJ,6446,UFRJ-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UFRJ,CIENCIAS SOCIAIS,UFRJ
33,31882,UFF,1144,UFF-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UFF,COMUNICACAO,UFF
33,31882,UFF,5148,UFF-Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social - Publicidade E Propaganda,RJ,UFF,COMUNICACAO,UFF
33,31956,UFRJ,5860,UFRJ-Comunicação Social - Produção Editorial,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social - Produção Editorial,RJ,UFRJ,COMUNICACAO,UFRJ
33,31960,UFRJ,5860,UFRJ-Comunicação Social  - Radialismo,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social  - Radialismo,RJ,UFRJ,COMUNICACAO,UFRJ
35,321427,USP,605,USP-Matemática,MATEMÁTICA,MATEMÁTICA_SP,,Matemática,SP,USP,MATEMATICA,USP
35,32885,FGV,1661,FGV-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,EAESP,Administração,SP,FGV,ADMINISTRACAO,FGV
53,33204,UNB,22,UNB-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_DF,,Ciências Sociais,DF,UNB,CIENCIAS SOCIAIS,UNB
35,333294,MACKENZIE,44,MACKENZIE-Matemática,MATEMÁTICA,MATEMÁTICA_SP,,Matemática,SP,MACKENZIE,MATEMATICA,MACKENZIE
33,33726,UFF,2288,UFF-Comunicação Social - Cinema,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social - Cinema,RJ,UFF,COMUNICACAO,UFF
53,34642,UNB,6,UNB-Comunicação Social - Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Comunicação Social - Jornalismo,DF,UNB,COMUNICACAO,UNB
53,34642,UNB,16,UNB-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Jornalismo,DF,UNB,COMUNICACAO,UNB
33,34795,UFF,2288,UFF-Comunicação Social - Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social - Jornalismo,RJ,UFF,COMUNICACAO,UFF
53,34983,UNB,14,UNB-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_DF,,Ciências Sociais,DF,UNB,CIENCIAS SOCIAIS,UNB
